"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"147",NA,50,45,182863.71276662,NA,50,45,199224.134069884,c(-123.009665238341, 49.2325713923826),16360.421303264
"Population",500,"148",NA,50,45,59175.7040768559,NA,50,45,62714.0395200415,c(-123.089185447416, 49.3159341737715),3538.3354431856
"Population",500,"149",NA,50,45,56274.2591334045,NA,50,45,63164.6530230409,c(-122.859125162227, 49.2660077320839),6890.3938896364
"Population",500,"150",NA,50,45,121758.532328247,NA,50,45,146107.942540318,c(-122.890826347395, 49.2449411766772),24349.410212071
"Population",500,"151",NA,50,45,56079.2437265359,NA,50,45,109898.903531191,c(-122.802388455415, 49.1647282815264),53819.6598046551
"Population",500,"152",NA,50,45,108298.855422073,NA,50,45,115655.424197586,c(-123.077370800119, 49.3128794660306),7356.56877551301
"Population",500,"153",NA,50,45,7717.3868197134,NA,50,45,7717.42182158739,c(-122.575196270528, 49.2253243998219),0.0350018739900406
"Population",500,"154",NA,50,45,0,NA,50,45,0,c(-122.234489003927, 49.0343686736137),0
"Population",500,"155",NA,50,45,116680.9902579,NA,50,45,131123.407940751,c(-122.953135935448, 49.2140304989655),14442.417682851
"Population",500,"156",NA,50,45,38035.497628733,NA,50,45,55588.7808545201,c(-122.807329692133, 49.1604853839716),17553.2832257871
"Population",500,"157",NA,50,45,70625.6703572773,NA,50,45,74121.8155078974,c(-123.095013518696, 49.1852437170439),3496.1451506201
"Population",500,"158",NA,50,45,34247.5943792651,NA,50,45,35584.7883623113,c(-122.773542862309, 49.2737689436569),1337.1939830462
"Population",500,"159",NA,50,45,80699.2255976485,NA,50,45,83597.047046649,c(-123.051715922673, 49.2072182631364),2897.82144900049
"Population",500,"160",NA,50,45,73593.3118427373,NA,50,45,100820.211040842,c(-122.988901794108, 49.2714315896288),27226.8991981047
"Population",500,"161",NA,50,45,179674.332984186,NA,50,45,189008.408256543,c(-123.066779341279, 49.2438662888951),9334.075272357
"Population",500,"162",NA,50,45,0,NA,50,45,0,c(-122.364354828916, 49.0701748198293),0
"Population",500,"163",NA,50,45,89751.98919474,NA,50,45,94583.0959316051,c(-123.128605545793, 49.1612171572296),4831.1067368651
"Population",500,"164",NA,50,45,146571.866569899,NA,50,45,171267.860976009,c(-122.901546001872, 49.2501425050618),24695.99440611
"Population",500,"165",NA,50,45,187635.123908545,NA,50,45,235118.47149941,c(-123.166602713093, 49.2650520911959),47483.347590865
"Population",500,"166",NA,50,45,50194.0389168632,NA,50,45,54128.7916970739,c(-122.872263813481, 49.1789826658419),3934.7527802107
"Population",500,"167",NA,50,45,83205.6082863354,NA,50,45,95928.5853817028,c(-122.940713259724, 49.2068980974341),12722.9770953674
"Population",500,"168",NA,50,45,189496.149400072,NA,50,45,219636.193573822,c(-123.144137787266, 49.2646961609668),30140.04417375
"Population",500,"169",NA,50,45,49527.4370228147,NA,50,45,55647.9477218161,c(-122.837406895254, 49.2792041063521),6120.5106990014
"Population",500,"170",NA,50,45,61448.8452430108,NA,50,45,64316.6925574287,c(-123.115720168515, 49.1753461771616),2867.8473144179
"Population",500,"171",NA,50,45,70088.27038157,NA,50,45,79994.8997203438,c(-122.86341424594, 49.2005831597801),9906.62933877381
"Population",500,"172",NA,50,45,6655.82924242601,NA,50,45,6655.82924242601,c(-122.311152992435, 49.0530577533833),0
"Population",500,"173",NA,50,45,54483.9570472555,NA,50,45,61436.8798794793,c(-122.851725749086, 49.1632461815403),6952.9228322238
"Population",500,"174",NA,50,45,0,NA,50,45,0,c(-122.240827951123, 49.0400307322879),0
"Population",500,"175",NA,50,45,171128.818475266,NA,50,45,201926.478324726,c(-122.893682374129, 49.2465953407705),30797.65984946
"Population",500,"176",NA,50,45,1997.17015309391,NA,50,45,1997.17015309391,c(-123.04280012727, 49.0094063583303),0
"Population",500,"177",NA,50,45,35486.9555850818,NA,50,45,36847.1395861509,c(-123.105427582254, 49.1805873319013),1360.1840010691
"Population",500,"178",NA,50,45,452.741048048279,NA,50,45,452.741048048279,c(-122.25174507424, 49.0435364064401),0
"Population",500,"179",NA,50,45,38989.5019532269,NA,50,45,52121.710035277,c(-122.66709418775, 49.1041153325495),13132.2080820501
"Population",500,"180",NA,50,45,3753.78216548487,NA,50,45,3781.74177794139,c(-123.093094289874, 49.0308158809285),27.9596124565201
"Population",500,"181",NA,50,45,99665.0157865557,NA,50,45,102319.086744883,c(-123.09389958882, 49.2173015602635),2654.0709583273
"Population",500,"182",NA,50,45,27349.1728635341,NA,50,45,27637.09671198,c(-122.840920428069, 49.110208395331),287.923848445902
"Population",500,"183",NA,50,45,56521.6739492057,NA,50,45,59252.1855135398,c(-123.114833515479, 49.1665822888318),2730.5115643341
"Population",500,"184",NA,50,45,202502.810772299,NA,50,45,212265.29332313,c(-123.065882077625, 49.2441804713899),9762.48255083099
"Population",500,"185",NA,50,45,27855.9571533,NA,50,45,28512.3329482465,c(-122.638132458844, 49.1619945026147),656.3757949465
"Population",500,"186",NA,50,45,3957.44180543518,NA,50,45,3964.21385054773,c(-122.588309663762, 49.1739330956337),6.77204511255013
"Population",500,"187",NA,50,45,12054.5768145659,NA,50,45,12914.5111022591,c(-122.749057333242, 49.1061929283943),859.934287693201
"Population",500,"188",NA,50,45,236987.257185744,NA,50,45,256612.809741895,c(-123.099982533993, 49.2819667893912),19625.552556151
"Population",500,"189",NA,50,45,0,NA,50,45,0,c(-122.310044136042, 49.1785950587808),0
"Population",500,"190",NA,50,45,17309.924324893,NA,50,45,17720.1633618598,c(-122.82323771722, 49.2952911839579),410.239036966799
"Population",500,"191",NA,50,45,0,NA,50,45,0,c(-122.50492560037, 49.207140036294),0
"Population",500,"192",NA,50,45,113763.844926349,NA,50,45,123714.449369749,c(-122.975971948289, 49.2215450495435),9950.60444339999
"Population",500,"193",NA,50,45,51881.3626239734,NA,50,45,55455.1213421393,c(-122.8217660188, 49.282025338516),3573.7587181659
"Population",500,"194",NA,50,45,190652.038120482,NA,50,45,198579.298238756,c(-123.062094827722, 49.2407997065681),7927.26011827399
"Population",500,"195",NA,50,45,10051.0289209223,NA,50,45,11061.0791109467,c(-122.90833391069, 49.1453666866175),1010.0501900244
"Population",500,"196",NA,50,45,12339.0086322936,NA,50,45,12381.3456035584,c(-122.791916607803, 49.0628985489826),42.3369712648
"Population",500,"197",NA,50,45,25035.0748383974,NA,50,45,26126.0411957476,c(-122.798222219736, 49.2929303531963),1090.9663573502
"Population",500,"198",NA,50,45,37116.5511971651,NA,50,45,39152.3710621253,c(-122.93235690813, 49.1890866822042),2035.8198649602
